id,company_name,max_price,min_price,closing_price,previous_closing,difference
155,Reliance Life Insurance Limited,667.00,650.00,664.00,667.00,-3.00
156,Ridi Hydropower Development Company Ltd.,190.00,185.00,188.00,185.00,3.00
157,RMDC Laghubitta Bittiya Sanstha Ltd.,1130.00,1107.00,1114.00,1109.00,5.00
158,RSDC Laghubitta Bittiya Sanstha Ltd.,843.00,816.00,835.00,831.00,4.00
159,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,1314.00,1261.00,1297.00,1286.00,11.00
160,Sadhana Laghubitta Bittiya Sanstha Limited,1397.00,1344.00,1385.00,1370.00,15.00
161,Sagarmatha Insurance Co. Ltd.,1575.00,1540.00,1555.00,1570.00,-15.00
162,Salt Trading Corporation,11550.00,10500.00,11550.00,10500.00,1050.00
163,Samriddhi Finance Company Limited,206.00,203.00,204.00,205.00,-1.00
164,Samudayik Laghubitta Bittiya Sanstha Limited,1305.00,1260.00,1280.00,1255.00,25.00
165,Sana Kisan Bikas Bank Ltd,1632.00,1575.00,1632.00,1625.00,7.00
166,Sanima Bank Limited,360.00,356.00,356.00,359.00,-3.00
167,Sanima Equity Fund,13.81,13.46,13.80,13.70,0.10
168,Sanima General Insurance Limited,632.00,623.00,628.00,635.00,-7.00
169,Sanima Large Cap Fund,9.85,9.70,9.84,9.81,0.03
170,Sanima Mai Hydropower Ltd.,365.00,347.00,364.00,354.00,10.00
171,SANJEN JALAVIDHYUT COMPANY LIMITED,343.00,311.00,343.00,312.00,31.00
172,Saptakoshi Development Bank Ltd,166.00,160.00,160.00,166.00,-6.00
173,Sarathi Nepal Laghubitta Bittiya Sanstha Limited,1602.00,1547.00,1602.00,1578.00,24.00
174,Shangrila Development Bank Ltd.,205.00,199.00,201.00,202.00,-1.00
175,Shikhar Insurance Co. Ltd.,2067.00,1960.00,1996.00,1969.00,27.00
176,Shine Resunga Development Bank Ltd.,265.00,257.00,262.00,261.00,1.00
177,Shiva Shree Hydropower Ltd,204.00,193.00,201.00,193.00,8.00
178,SHIVAM CEMENTS LTD,1490.00,1426.00,1465.00,1468.00,-3.00
179,Shree Investment Finance Co. Ltd.,228.00,217.00,220.00,217.00,3.00
180,Siddhartha Bank Limited,410.00,398.00,398.00,402.00,-4.00
181,Siddhartha Equity Fund,11.75,11.53,11.70,11.75,-0.05
182,Siddhartha Insurance Ltd.,1160.00,1138.00,1160.00,1152.00,8.00
183,Siddhartha Investment Growth Scheme - 2,11.95,11.65,11.95,11.75,0.20
184,Sindhu Bikash Bank Ltd,186.00,182.00,186.00,186.00,0.00
185,Soaltee Hotel Limited,205.00,201.00,203.00,203.00,0.00
186,Standard Chartered Bank Limited,603.00,595.00,600.00,601.00,-1.00
187,Summit Laghubitta Bittiya Sanstha Limited,1337.00,1282.00,1328.00,1317.00,11.00
188,Sunrise Bank Limited,325.00,306.00,307.00,310.00,-3.00
189,Sunrise First Mutual Fund,13.19,12.60,13.19,12.70,0.49
190,Support Microfinance Bittiya Sanstha Ltd.,2050.00,1991.00,2038.00,2030.00,8.00
191,Surya Life Insurance Company Limited,815.00,796.00,805.00,809.00,-4.00
192,Suryodaya Laghubitta Bittiya Sanstha Ltd.,2110.00,1936.00,2089.00,1928.00,161.00
193,Swabalamban Laghubitta Bittiya Sanstha Limited,1712.00,1684.00,1701.00,1712.00,-11.00
194,Swabhimaan Laghubitta Bittiya Sanstha Limited,2193.00,2060.00,2193.00,2140.00,53.00
195,Swarojgar Laghu Bitta Bikas Bank Ltd.,1320.00,1265.00,1317.00,1285.00,32.00
196,Synergy Power Development Ltd.,279.00,261.00,274.00,265.00,9.00
197,Taragaon Regency Hotel Limited,318.00,306.00,315.00,312.00,3.00
198,Unilever Nepal Limited,19210.00,19210.00,19210.00,19600.00,-390.00
199,Union Hydropower Limited,130.00,122.00,128.00,125.00,3.00
200,United Finance Ltd.,379.00,370.00,375.00,383.00,-8.00
